cohort_validation,dimension,segment,challenger,races_validation,market_wins_validation,model_wins_validation,pick_changes_validation,market_losses_corrected_validation,market_winners_damaged_validation,net_winners_gained_validation,cohort_sealed_test,races_sealed_test,market_wins_sealed_test,model_wins_sealed_test,pick_changes_sealed_test,market_losses_corrected_sealed_test,market_winners_damaged_sealed_test,net_winners_gained_sealed_test
validation,race_class,unknown,market_corrector,105,41,38,8,2,5,-3,sealed_test,102,33,33,8,2,2,0
validation,race_class,unknown,gpt_pick,105,41,39,9,2,4,-2,sealed_test,102,33,33,13,3,3,0
validation,race_class,unknown,gpt_fluc2,105,41,42,13,5,4,1,sealed_test,102,33,36,16,5,2,3
validation,race_class,66-75,frozen_blend,137,49,52,17,5,2,3,sealed_test,142,45,46,8,1,0,1
validation,race_class,66-75,market_corrector,137,49,53,16,6,2,4,sealed_test,142,45,46,9,1,0,1
validation,race_class,66-75,gpt_pick,137,49,51,13,4,2,2,sealed_test,142,45,44,17,3,4,-1
validation,race_class,66-75,gpt_fluc2,137,49,49,18,5,5,0,sealed_test,142,45,44,8,2,3,-1
validation,race_class,<=50,frozen_blend,338,137,141,27,9,5,4,sealed_test,307,114,107,28,4,11,-7
validation,race_class,<=50,market_corrector,338,137,137,16,3,3,0,sealed_test,307,114,107,17,1,8,-7
validation,race_class,<=50,gpt_pick,338,137,140,37,13,10,3,sealed_test,307,114,111,43,9,12,-3
validation,race_class,<=50,gpt_fluc2,338,137,132,47,13,18,-5,sealed_test,307,114,115,39,11,10,1
validation,corrector_confidence,validation_Q1,frozen_blend,278,87,94,57,16,9,7,sealed_test,295,93,81,70,10,22,-12
validation,corrector_confidence,validation_Q1,market_corrector,278,87,91,48,13,9,4,sealed_test,295,93,84,56,8,17,-9
validation,corrector_confidence,validation_Q1,gpt_pick,278,87,89,41,12,10,2,sealed_test,295,93,84,57,10,19,-9
validation,corrector_confidence,validation_Q1,gpt_fluc2,278,87,90,53,17,14,3,sealed_test,295,93,84,49,7,16,-9
validation,corrector_confidence,validation_Q3,frozen_blend,241,77,81,9,4,0,4,sealed_test,275,88,87,11,2,3,-1
validation,corrector_confidence,validation_Q3,market_corrector,241,77,79,7,2,0,2,sealed_test,275,88,88,4,1,1,0
validation,corrector_confidence,validation_Q3,gpt_pick,241,77,78,17,4,3,1,sealed_test,275,88,90,28,9,7,2
validation,corrector_confidence,validation_Q3,gpt_fluc2,241,77,80,25,9,6,3,sealed_test,275,88,93,27,9,4,5
validation,corrector_confidence,validation_Q4,frozen_blend,211,77,76,7,2,3,-1,sealed_test,208,84,83,5,1,2,-1
validation,corrector_confidence,validation_Q4,market_corrector,211,77,76,5,1,2,-1,sealed_test,208,84,83,2,0,1,-1
validation,corrector_confidence,validation_Q4,gpt_pick,211,77,77,19,6,6,0,sealed_test,208,84,80,17,3,7,-4
validation,corrector_confidence,validation_Q4,gpt_fluc2,211,77,76,18,5,6,-1,sealed_test,208,84,82,16,4,6,-2
validation,corrector_confidence,validation_Q2,frozen_blend,270,101,104,21,8,5,3,sealed_test,222,71,69,24,5,7,-2
validation,corrector_confidence,validation_Q2,market_corrector,270,101,102,15,6,5,1,sealed_test,222,71,70,14,3,4,-1
validation,corrector_confidence,validation_Q2,gpt_pick,270,101,100,26,8,9,-1,sealed_test,222,71,70,29,5,6,-1
validation,corrector_confidence,validation_Q2,gpt_fluc2,270,101,95,26,5,11,-6,sealed_test,222,71,72,35,9,8,1
validation,corrector_market_rank_gap,0 (agrees),frozen_blend,925,326,329,32,9,6,3,sealed_test,924,313,304,42,6,15,-9
validation,corrector_market_rank_gap,0 (agrees),market_corrector,925,326,326,0,0,0,0,sealed_test,924,313,313,0,0,0,0
validation,corrector_market_rank_gap,0 (agrees),gpt_pick,925,326,325,70,19,20,-1,sealed_test,924,313,304,91,21,30,-9
validation,corrector_market_rank_gap,0 (agrees),gpt_fluc2,925,326,324,84,24,26,-2,sealed_test,924,313,311,91,23,25,-2
validation,corrector_market_rank_gap,1,frozen_blend,70,16,24,58,19,11,8,sealed_test,70,23,15,63,11,19,-8
validation,corrector_market_rank_gap,1,market_corrector,70,16,20,70,20,16,4,sealed_test,70,23,11,70,11,23,-12
validation,corrector_market_rank_gap,1,gpt_pick,70,16,18,31,10,8,2,sealed_test,70,23,20,38,6,9,-3
validation,corrector_market_rank_gap,1,gpt_fluc2,70,16,16,37,11,11,0,sealed_test,70,23,20,33,6,9,-3
validation,corrector_market_rank_gap,2,frozen_blend,5,0,2,4,2,0,2,sealed_test,6,0,1,5,1,0,1
validation,corrector_market_rank_gap,2,market_corrector,5,0,2,5,2,0,2,sealed_test,6,0,1,6,1,0,1
validation,corrector_market_rank_gap,2,gpt_pick,5,0,1,2,1,0,1,sealed_test,6,0,0,2,0,0,0
validation,corrector_market_rank_gap,2,gpt_fluc2,5,0,1,1,1,0,1,sealed_test,6,0,0,3,0,0,0
validation,gpt_pick_market_agreement,agree,frozen_blend,897,314,321,45,13,6,7,sealed_test,869,297,290,51,8,15,-7
validation,gpt_pick_market_agreement,agree,market_corrector,897,314,316,42,10,8,2,sealed_test,869,297,289,36,6,14,-8
validation,gpt_pick_market_agreement,agree,gpt_pick,897,314,314,0,0,0,0,sealed_test,869,297,297,0,0,0,0
validation,gpt_pick_market_agreement,agree,gpt_fluc2,897,314,311,44,11,14,-3,sealed_test,869,297,300,40,10,7,3
validation,gpt_pick_market_agreement,disagree,frozen_blend,103,28,34,49,17,11,6,sealed_test,131,39,30,59,10,19,-9
validation,gpt_pick_market_agreement,disagree,market_corrector,103,28,32,33,12,8,4,sealed_test,131,39,36,40,6,9,-3
validation,gpt_pick_market_agreement,disagree,gpt_pick,103,28,30,103,30,28,2,sealed_test,131,39,27,131,27,39,-12
validation,gpt_pick_market_agreement,disagree,gpt_fluc2,103,28,30,78,25,23,2,sealed_test,131,39,31,87,19,27,-8
validation,gpt_fluc2_market_agreement,agree,frozen_blend,878,305,315,36,12,2,10,sealed_test,873,302,294,43,6,14,-8
validation,gpt_fluc2_market_agreement,agree,market_corrector,878,305,310,37,10,5,5,sealed_test,873,302,293,40,5,14,-9
validation,gpt_fluc2_market_agreement,agree,gpt_pick,878,305,307,25,7,5,2,sealed_test,873,302,299,44,9,12,-3
validation,gpt_fluc2_market_agreement,agree,gpt_fluc2,878,305,305,0,0,0,0,sealed_test,873,302,302,0,0,0,0
validation,gpt_fluc2_market_agreement,disagree,frozen_blend,122,37,40,58,18,15,3,sealed_test,127,34,26,67,12,20,-8
validation,gpt_fluc2_market_agreement,disagree,market_corrector,122,37,38,38,12,11,1,sealed_test,127,34,32,36,7,9,-2
validation,gpt_fluc2_market_agreement,disagree,gpt_pick,122,37,37,78,23,23,0,sealed_test,127,34,25,87,18,27,-9
validation,gpt_fluc2_market_agreement,disagree,gpt_fluc2,122,37,36,122,36,37,-1,sealed_test,127,34,29,127,29,34,-5
